driver,value,unit,statement line it feeds,controllable (Y/N)
Platform fee,"$2,500",per firm / month,Platform revenue,Y
Usage price,$2,per document over allowance,Usage revenue,Y
Document allowance,"1,000",docs / firm / month included,Usage revenue,Y
Usage curve — step 1,"1,030","docs/firm/mo, tenure 1–6",Usage rev + inference COGS,N
Usage curve — step 2,"1,360","docs/firm/mo, tenure 7–12",Usage rev + inference COGS,N
Usage curve — step 3,"1,720","docs/firm/mo, tenure 13+",Usage rev + inference COGS,N
Logo churn,"0% mo 1–3, then 1.5%",per month (seasoned, monthly-billing firms),Ending firms,N
Annual-prepay share,40%,of new firms,Deferred revenue / cash,Y
Prepay discount,10%,off annual list,Platform revenue / DR,Y
Sales commission,8%,"of first-year platform ACV ($2,400/firm)",S&M expense (paid quarterly),Y
Inference cost,$0.18 → −5%/qtr,per document,COGS – inference,N
Hosting,"$19,500","per month, fixed",COGS – hosting,Y
CSM ratio,1 : 15,"CSM per active firm, hired one month early",COGS – CSM payroll,Y
Quota,3,new logos / ramped AE / month,New logos,Y
AE ramp,1 month,new AEs produce from month 2,New logos,Y
AE base salary,"$96,000",per year,S&M expense,Y
CSM salary,"$78,000",per year,COGS – CSM payroll,Y
Engineer salary,"$165,000",per year,R&D expense (60/40 support-vs-core),Y
Exec comp,"$240,000",per year × 4 execs,G&A expense,Y
Rent,"$28,000",per month,G&A expense,Y
Demand-gen spend,$150k → $347k,per month (ramp),S&M expense,Y
Starting cash,"$6,600,000",at Jan 1 2027,Cash walk,N
Starting active firms,54,"firms at Jan 1 2027 (tenure mix — 2:16, 3:14, 4:10, 5:8, 6:6)",Beginning firms,N
AE starting roster,4,ramped AEs at Jan 1,New logos,Y
AE hire schedule,"1 in Mar, May, Jul; 2 in Sep; 1 in Nov",new AE hires by month,New logos,Y
Engineering headcount plan,"9, 10, 12, 13, 15, 16, 18, 19, 21, 22, 23, 24",engineers on payroll Jan–Dec,R&D expense,Y
Execs,4,all year,G&A expense,Y
